name_it,un_number,name_en,class,classification_code,packing_group,label,trc_transport_category,special_provisions,limited,expected_quantities,packing_instruction,special_packing_provision,mixed_packing_provision,instructions,p_tank_special_provisions,tank_code,ard_special_provisions,vehicle_for_tank_carriage,packages,bulk,loading_unloading_handling,operation,hazard_identification_no
SOLFURO DI SODIO ANIDRO o SOLFURO DI SODIO con meno del 30% d'acqua di cristal- lizzazione,1385,,4.2,S4,II,4.2,2 (D/E),,,,,,,,,,,,,,,,
PANELLI contenenti più dell'1,5% (massa) di olio e aventi non più dell'11% (massa) di umidità,1386,,4.2,S2,III,4.2,3 (E),,,,,,,,,,,,,,,,
Riﬁuti di lana, bagnati,1387,,4.2,S2,NOT SUBJECT TO ADR,,,,,,,,,,,,,,,,,,
AMALGAMA DI METALLI ALCALINI, LIQUIDO,1389,,4.3,W1,I,4.3,1 (B/E),,,,,,,,,,,,,,,,
AMIDURI DI METALLI ALCALINI,1390,,4.3,W2,II,4.3,0 (D/E),,,,,,,,,,,,,,,,
DISPERSIONE DI METALLI ALCALINI o DISPERSIONE DI METALLI ALCALINO-TERROSI,1391,,4.3,W1,I,4.3,1 (B/E),,,,,,,,,,,,,,,,
AMALGAMA DI METALLI ALCALINO-TERROSI, LIQUIDO,1392,,4.3,W1,I,4.3,1 (B/E),,,,,,,,,,,,,,,,
LEGA DI METALLI ALCALINO-TERROSI, N.A.S.,1393,,4.3,W2,II,4.3,2 (D/E),,,,,,,,,,,,,,,,
CARBURO DI ALLUMINIO,1394,,4.3,W2,II,4.3,2 (D/E),,,,,,,,,,,,,,,,
ALLUMINIO FERROSILICIO IN POLVERE,1395,,4.3,WT2,II,4.3+6.1,2 (D/E),,,,,,,,,,,,,,,,
ALLUMINIO IN POLVERE, NON RIVESTITO,1396,,4.3,W2,II,4.3,2 (D/E),,,,,,,,,,,,,,,,
ALLUMINIO IN POLVERE, NON RIVESTITO,1396,,4.3,W2,III,4.3,3 (E),,,,,,,,,,,,,,,,
FOSFURO DI ALLUMINIO,1397,,4.3,WT2,I,4.3+6.1,1 (E),,,,,,,,,,,,,,,,
ALLUMINIO SILICIO IN POLVERE, NON RIVESTITO,1398,,4.3,W2,III,4.3,3 (E),,,,,,,,,,,,,,,,
BARIO,1400,,4.3,W2,II,4.3,2 (D/E),,,,,,,,,,,,,,,,
CALCIO,1401,,4.3,W2,II,4.3,2 (D/E),,,,,,,,,,,,,,,,
CARBURO DI CALCIO,1402,,4.3,W2,I,4.3,1 (B/E),,,,,,,,,,,,,,,,
CARBURO DI CALCIO,1402,,4.3,W2,II,4.3,2 (D/E),,,,,,,,,,,,,,,,
CIANAMMIDE DI CALCIO contenente più dello 0,1% (massa) di carburo di calcio,1403,,4.3,W2,III,4.3,0 (E),,,,,,,,,,,,,,,,
IDRURO DI CALCIO,1404,,4.3,W2,I,4.3,1 (E),,,,,,,,,,,,,,,,
SILICIURO DI CALCIO,1405,,4.3,W2,II,4.3,2 (D/E),,,,,,,,,,,,,,,,
SILICIURO DI CALCIO,1405,,4.3,W2,III,4.3,3 (E),,,,,,,,,,,,,,,,
CESIO,1407,,4.3,W2,I,4.3,1 (B/E),,,,,,,,,,,,,,,,
FERROSILICIO contenente il 30% (massa) o più, ma meno del 90% (massa) di silicio,1408,,4.3,WT2,III,4.3+6.1,3 (E),,,,,,,,,,,,,,,,
IDRURI METALLICI IDROREATTIVI, N.A.S.,1409,,4.3,W2,I,4.3,1 (E),,,,,,,,,,,,,,,,
IDRURI METALLICI IDROREATTIVI, N.A.S.,1409,,4.3,W2,II,4.3,2 (D/E),,,,,,,,,,,,,,,,
IDRURO DI LITIO E ALLUMINIO,1410,,4.3,W2,I,4.3,1 (E),,,,,,,,,,,,,,,,
IDRURO DI LITIO E ALLUMINIO IN ETERE,1411,,4.3,WF1,I,4.3+3,1 (E),,,,,,,,,,,,,,,,
BOROIDRURO DI LITIO,1413,,4.3,W2,I,4.3,1 (E),,,,,,,,,,,,,,,,
IDRURO DI LITIO,1414,,4.3,W2,I,4.3,1 (E),,,,,,,,,,,,,,,,
LITIO,1415,,4.3,W2,I,4.3,1 (B/E),,,,,,,,,,,,,,,,
LITIOSILICIO,1417,,4.3,W2,II,4.3,2 (D/E),,,,,,,,,,,,,,,,
MAGNESIO IN POLVERE o LEGHE DI MAGNESIO IN POLVERE,1418,,4.3,WS,I,4.3+4.2,1 (E),,,,,,,,,,,,,,,,
MAGNESIO IN POLVERE o LEGHE DI MAGNESIO IN POLVERE,1418,,4.3,WS,II,4.3+4.2,2 (D/E),,,,,,,,,,,,,,,,
MAGNESIO IN POLVERE o LEGHE DI MAGNESIO IN POLVERE,1418,,4.3,WS,III,4.3+4.2,3 (E),,,,,,,,,,,,,,,,
FOSFURO DI MAGNESIO E ALLUMINIO,1419,,4.3,WT2,I,4.3+6.1,1 (E),,,,,,,,,,,,,,,,
LEGHE METALLICHE DI POTASSIO, LIQUIDE,1420,,4.3,W1,I,4.3,1 (B/E),,,,,,,,,,,,,,,,
LEGA DI METALLI ALCALINI, LIQUIDA, N.A.S.,1421,,4.3,W1,I,4.3,1 (B/E),,,,,,,,,,,,,,,,
LEGHE DI POTASSIO E SODIO, LIQUIDE,1422,,4.3,W1,I,4.3,1 (B/E),,,,,,,,,,,,,,,,
RUBIDIO,1423,,4.3,W2,I,4.3,1 (B/E),,,,,,,,,,,,,,,,
BOROIDRURO DI SODIO,1426,,4.3,W2,I,4.3,1 (E),,,,,,,,,,,,,,,,
IDRURO DI SODIO,1427,,4.3,W2,I,4.3,1 (E),,,,,,,,,,,,,,,,
SODIO,1428,,4.3,W2,I,4.3,1 (B/E),,,,,,,,,,,,,,,,
METILATO DI SODIO,1431,,4.2,SC4,II,4.2+8,2 (D/E),,,,,,,,,,,,,,,,
FOSFURO DI SODIO,1432,,4.3,WT2,I,4.3+6.1,1 (E),,,,,,,,,,,,,,,,
FOSFURO STANNICO,1433,,4.3,WT2,I,4.3+6.1,1 (E),,,,,,,,,,,,,,,,
CENERI DI ZINCO,1435,,4.3,W2,III,4.3,3 (E),,,,,,,,,,,,,,,,
ZINCO IN POLVERE o ZINCO IN POLVERE FINE,1436,,4.3,WS,I,4.3+4.2,1 (E),,,,,,,,,,,,,,,,
ZINCO IN POLVERE o ZINCO IN POLVERE FINE,1436,,4.3,WS,II,4.3+4.2,2 (D/E),,,,,,,,,,,,,,,,
ZINCO IN POLVERE o ZINCO IN POLVERE FINE,1436,,4.3,WS,III,4.3+4.2,3 (E),,,,,,,,,,,,,,,,
IDRURO DI ZIRCONIO,1437,,4.1,F3,II,4.1,2 (E),,,,,,,,,,,,,,,,
NITRATO DI ALLUMINIO,1438,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
DICROMATO DI AMMONIO,1439,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PERCLORATO DI AMMONIO,1442,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PERSOLFATO DI AMMONIO,1444,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
CLORATO DI BARIO, SOLIDO,1445,,5.1,OT2,II,5.1+6.1,2 (E),,,,,,,,,,,,,,,,
NITRATO DI BARIO,1446,,5.1,OT2,II,5.1+6.1,2 (E),,,,,,,,,,,,,,,,
PERCLORATO DI BARIO, SOLIDO,1447,,5.1,OT2,II,5.1+6.1,2 (E),,,,,,,,,,,,,,,,
PERMANGANATO DI BARIO,1448,,5.1,OT2,II,5.1+6.1,2 (E),,,,,,,,,,,,,,,,
PEROSSIDO DI BARIO,1449,,5.1,OT2,II,5.1+6.1,2 (E),,,,,,,,,,,,,,,,
BROMATI INORGANICI, N.A.S.,1450,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
NITRATO DI CESIO,1451,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
CLORATO DI CALCIO,1452,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
CLORITO DI CALCIO,1453,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
NITRATO DI CALCIO,1454,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
PERCLORATO DI CALCIO,1455,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PERMANGANATO DI CALCIO,1456,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PEROSSIDO DI CALCIO,1457,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
CLORATO E BORATO IN MISCELA,1458,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
CLORATO E BORATO IN MISCELA,1458,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
CLORATO E CLORURO DI MAGNESIO IN MISCELA, SOLIDA,1459,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
CLORATO E CLORURO DI MAGNESIO IN MISCELA, SOLIDA,1459,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
CLORATI INORGANICI, N.A.S.,1461,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
CLORITI INORGANICI, N.A.S.,1462,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
TRIOSSIDO DI CROMO ANIDRO,1463,,5.1,OTC,II,5.1+6.1+8,2 (E),,,,,,,,,,,,,,,,
NITRATO DI DIDIMIO,1465,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
NITRATO FERRICO,1466,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
NITRATO DI GUANIDINA,1467,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
NITRATO DI PIOMBO,1469,,5.1,OT2,II,5.1+6.1,2 (E),,,,,,,,,,,,,,,,
PERCLORATO DI PIOMBO, SOLIDO,1470,,5.1,OT2,II,5.1+6.1,2 (E),,,,,,,,,,,,,,,,
IPOCLORITO DI LITIO SECCO o IPOCLORITO DI LITIO IN MISCELA,1471,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
IPOCLORITO DI LITIO SECCO o IPOCLORITO DI LITIO IN MISCELA,1471,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
PEROSSIDO DI LITIO,1472,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
BROMATO DI MAGNESIO,1473,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
NITRATO DI MAGNESIO,1474,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
PERCLORATO DI MAGNESIO,1475,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PEROSSIDO DI MAGNESIO,1476,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
NITRATI INORGANICI, N.A.S.,1477,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
NITRATI INORGANICI, N.A.S.,1477,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
SOLIDO COMBURENTE, N.A.S.,1479,,5.1,O2,I,5.1,1 (E),,,,,,,,,,,,,,,,
SOLIDO COMBURENTE, N.A.S.,1479,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
SOLIDO COMBURENTE, N.A.S.,1479,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
PERCLORATI INORGANICI, N.A.S.,1481,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PERCLORATI INORGANICI, N.A.S.,1481,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
PERMANGANATI INORGANICI, N.A.S.,1482,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PERMANGANATI INORGANICI, N.A.S.,1482,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
PEROSSIDI INORGANICI, N.A.S.,1483,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PEROSSIDI INORGANICI, N.A.S.,1483,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
BROMATO DI POTASSIO,1484,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
CLORATO DI POTASSIO,1485,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
NITRATO DI POTASSIO,1486,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
NITRATO DI POTASSIO E NITRITO DI SODIO IN MISCELA,1487,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
NITRITO DI POTASSIO,1488,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PERCLORATO DI POTASSIO,1489,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PERMANGANATO DI POTASSIO,1490,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PEROSSIDO DI POTASSIO,1491,,5.1,O2,I,5.1,1 (E),,,,,,,,,,,,,,,,
PERSOLFATO DI POTASSIO,1492,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
NITRATO DI ARGENTO,1493,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
BROMATO DI SODIO,1494,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
CLORATO DI SODIO,1495,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
CLORITO DI SODIO,1496,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
NITRATO DI SODIO,1498,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
NITRATO DI SODIO E NITRATO DI POTASSIO IN MISCELA,1499,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
NITRITO DI SODIO,1500,,5.1,OT2,III,5.1+6.1,3 (E),,,,,,,,,,,,,,,,
PERCLORATO DI SODIO,1502,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PERMANGANATO DI SODIO,1503,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PEROSSIDO DI SODIO,1504,,5.1,O2,I,5.1,1 (E),,,,,,,,,,,,,,,,
PERSOLFATO DI SODIO,1505,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
CLORATO DI STRONZIO,1506,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
NITRATO DI STRONZIO,1507,,5.1,O2,III,5.1,3 (E),,,,,,,,,,,,,,,,
PERCLORATO DI STRONZIO,1508,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PEROSSIDO DI STRONZIO,1509,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
TETRANITROMETANO,1510,,6.1,TO1,I,6.1+5.1,1 (B/D),,,,,,,,,,,,,,,,
UREA-PEROSSIDO DI IDROGENO,1511,,5.1,OC2,III,5.1+8,3 (E),,,,,,,,,,,,,,,,
NITRITO DI ZINCO AMMONIACALE,1512,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
CLORATO DI ZINCO,1513,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
NITRATO DI ZINCO,1514,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PERMANGANATO DI ZINCO,1515,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PEROSSIDO DI ZINCO,1516,,5.1,O2,II,5.1,2 (E),,,,,,,,,,,,,,,,
PICRAMMATO DI ZIRCONIO UMIDIFICATO con almeno il 20% (massa di acqua),1517,,4.1,D,I,4.1,1 (B),,,,,,,,,,,,,,,,
ACETONCIANIDRINA STABILIZZATA,1541,,6.1,T1,I,6.1,1 (C/D),,,,,,,,,,,,,,,,
ALCALOIDI SOLIDI, N.A.S. o SALI DI ALCALOIDI SOLIDI, N.A.S.,1544,,6.1,T2,I,6.1,1 (C/E),,,,,,,,,,,,,,,,
ALCALOIDI SOLIDI, N.A.S. o SALI DI ALCALOIDI SOLIDI, N.A.S.,1544,,6.1,T2,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
ALCALOIDI SOLIDI, N.A.S. o SALI DI ALCALOIDI SOLIDI, N.A.S.,1544,,6.1,T2,III,6.1,2 (E),,,,,,,,,,,,,,,,
ISOTIOCIANATO DI ALLILE STABILIZZATO,1545,,6.1,TF1,II,6.1+3,2 (D/E),,,,,,,,,,,,,,,,
ARSENIATO DI AMMONIO,1546,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
ANILINA,1547,,6.1,T1,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
CLORIDRATO DI ANILINA,1548,,6.1,T2,III,6.1,2 (E),,,,,,,,,,,,,,,,
COMPOSTO INORGANICO SOLIDO DELL'ANTIMONIO, N.A.S.,1549,,6.1,T5,III,6.1,2 (E),,,,,,,,,,,,,,,,
LATTATO DI ANTIMONIO,1550,,6.1,T5,III,6.1,2 (E),,,,,,,,,,,,,,,,
TARTRATO DI ANTIMONIO E DI POTASSIO,1551,,6.1,T5,III,6.1,2 (E),,,,,,,,,,,,,,,,
ACIDO ARSENICO LIQUIDO,1553,,6.1,T4,I,6.1,1 (C/E),,,,,,,,,,,,,,,,
ACIDO ARSENICO SOLIDO,1554,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
BROMURO DI ARSENICO,1555,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
COMPOSTO LIQUIDO DELL'ARSENICO, N.A.S., inorganico (arseniati, arseniti e solfuri di arsenico),1556,,6.1,T4,I,6.1,1 (C/E),,,,,,,,,,,,,,,,
COMPOSTO LIQUIDO DELL'ARSENICO, N.A.S., inorganico (arseniati, arseniti e solfuri di arsenico),1556,,6.1,T4,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
COMPOSTO LIQUIDO DELL'ARSENICO, N.A.S., inorganico (arseniati, arseniti e solfuri di arsenico),1556,,6.1,T4,III,6.1,2 (E),,,,,,,,,,,,,,,,
COMPOSTO SOLIDO DELL'ARSENICO, N.A.S., inorganico (arseniati, arseniti e solfuri di arsenico),1557,,6.1,T5,I,6.1,1 (C/E),,,,,,,,,,,,,,,,
COMPOSTO SOLIDO DELL'ARSENICO, N.A.S., inorganico (arseniati, arseniti e solfuri di arsenico),1557,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
COMPOSTO SOLIDO DELL'ARSENICO, N.A.S., inorganico (arseniati, arseniti e solfuri di arsenico),1557,,6.1,T5,III,6.1,2 (E),,,,,,,,,,,,,,,,
ARSENICO,1558,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
PENTOSSIDO DI ARSENICO,1559,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
TRICLORURO DI ARSENICO,1560,,6.1,T4,I,6.1,1 (C/E),,,,,,,,,,,,,,,,
TRIOSSIDO DI ARSENICO,1561,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
POLVERE ARSENICALE,1562,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
COMPOSTO DEL BARIO, N.A.S.,1564,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
COMPOSTO DEL BARIO, N.A.S.,1564,,6.1,T5,III,6.1,2 (E),,,,,,,,,,,,,,,,
CIANURO DI BARIO,1565,,6.1,T5,I,6.1,1 (C/E),,,,,,,,,,,,,,,,
COMPOSTO DEL BERILLIO, N.A.S.,1566,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
COMPOSTO DEL BERILLIO, N.A.S.,1566,,6.1,T5,III,6.1,2 (E),,,,,,,,,,,,,,,,
BERILLIO IN POLVERE,1567,,6.1,TF3,II,6.1+4.1,2 (D/E),,,,,,,,,,,,,,,,
BROMOACETONE,1569,,6.1,TF1,II,6.1+3,2 (D/E),,,,,,,,,,,,,,,,
BRUCINA,1570,,6.1,T2,I,6.1,1 (C/E),,,,,,,,,,,,,,,,
AZOTURO DI BARIO UMIDIFICATO con almeno il 50% (massa) di acqua,1571,,4.1,DT,I,4.1+6.1,1 (B),,,,,,,,,,,,,,,,
ACIDO CACODILICO,1572,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
ARSENIATO DI CALCIO,1573,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
ARSENIATO DI CALCIO E ARSENITO DI CALCIO IN MISCELA SOLIDA,1574,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
CIANURO DI CALCIO,1575,,6.1,T5,I,6.1,1 (C/E),,,,,,,,,,,,,,,,
CLORODINITROBENZENI, LIQUIDI,1577,,6.1,T1,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
CLORONITROBENZENI, SOLIDI,1578,,6.1,T2,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
CLORIDRATO DI 4-CLORO-o-TOLUIDINA, SOLIDO,1579,,6.1,T2,III,6.1,2 (E),,,,,,,,,,,,,,,,
CLOROPICRINA,1580,,6.1,T1,I,6.1,1 (C/D),,,,,,,,,,,,,,,,
BROMURO DI METILE E CLOROPICRINA IN MISCELA contenente più del 2% di cloropicrina,1581,,2,2T,,2.3,1 (C/D),,,,,,,,,,,,,,,,
CLORURO DI METILE E CLOROPICRINA IN MISCELA,1582,,2,2T,,2.3,1 (C/D),,,,,,,,,,,,,,,,
CLOROPICRINA IN MISCELA, N.A.S.,1583,,6.1,T1,I,6.1,1 (C/E),,,,,,,,,,,,,,,,
CLOROPICRINA IN MISCELA, N.A.S.,1583,,6.1,T1,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
CLOROPICRINA IN MISCELA, N.A.S.,1583,,6.1,T1,III,6.1,2 (E),,,,,,,,,,,,,,,,
ACETOARSENITO DI RAME,1585,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
ARSENITO DI RAME,1586,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
CIANURO DI RAME,1587,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
CIANURI INORGANICI, SOLIDI, N.A.S.,1588,,6.1,T5,I,6.1,1 (C/E),,,,,,,,,,,,,,,,
CIANURI INORGANICI, SOLIDI, N.A.S.,1588,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
CIANURI INORGANICI, SOLIDI, N.A.S.,1588,,6.1,T5,III,6.1,2 (E),,,,,,,,,,,,,,,,
CLORURO DI CIANOGENO STABILIZZATO,1589,,2,2TC,,2.3+8,1 (D),,,,,,,,,,,,,,,,
DICLOROANILINE, LIQUIDE,1590,,6.1,T1,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
o-DICLOROBENZENE,1591,,6.1,T1,III,6.1,2 (E),,,,,,,,,,,,,,,,
DICLOROMETANO,1593,,6.1,T1,III,6.1,2 (E),,,,,,,,,,,,,,,,
SOLFATO DIETILICO,1594,,6.1,T1,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
SOLFATO DIMETILICO,1595,,6.1,TC1,I,6.1+8,1 (C/D),,,,,,,,,,,,,,,,
DINITROANILINE,1596,,6.1,T2,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
DINITROBENZENI LIQUIDI,1597,,6.1,T1,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
DINITROBENZENI LIQUIDI,1597,,6.1,T1,III,6.1,2 (E),,,,,,,,,,,,,,,,
DINITRO-o-CRESOLO,1598,,6.1,T2,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
DINITROFENOLO IN SOLUZIONE,1599,,6.1,T1,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
DINITROFENOLO IN SOLUZIONE,1599,,6.1,T1,III,6.1,2 (E),,,,,,,,,,,,,,,,
DINITROTOLUENI FUSI,1600,,6.1,T1,II,6.1,0 (D/E),,,,,,,,,,,,,,,,
DISINFETTANTE SOLIDO,TOSSICO, N.A.S.,1601,,6.1,T2,I,6.1,1 (C/E),,,,,,,,,,,,,,,,
DISINFETTANTE SOLIDO,TOSSICO, N.A.S.,1601,,6.1,T2,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
DISINFETTANTE SOLIDO,TOSSICO, N.A.S.,1601,,6.1,T2,III,6.1,2 (E),,,,,,,,,,,,,,,,
COLORANTE LIQUIDO,TOSSICO, N.A.S. o MATERIA INTERMEDIA LIQUIDA PER COLORAN- TE,TOSSICA, N.A.S.,1602,,6.1,T1,I,6.1,1 (C/E),,,,,,,,,,,,,,,,
COLORANTE LIQUIDO,TOSSICO, N.A.S. o MATERIA INTERMEDIA LIQUIDA PER COLORAN- TE,TOSSICA, N.A.S.,1602,,6.1,T1,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
COLORANTE LIQUIDO,TOSSICO, N.A.S. o MATERIA INTERMEDIA LIQUIDA PER COLORAN- TE,TOSSICA, N.A.S.,1602,,6.1,T1,III,6.1,2 (E),,,,,,,,,,,,,,,,
BROMOACETATO DI ETILE,1603,,6.1,TF1,II,6.1+3,2 (D/E),,,,,,,,,,,,,,,,
ETILENDIAMMINA,1604,,8,CF1,II,8+3,2 (D/E),,,,,,,,,,,,,,,,
DIBROMURO DI ETILENE,1605,,6.1,T1,I,6.1,1 (C/D),,,,,,,,,,,,,,,,
ARSENIATO FERRICO,1606,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
ARSENITO FERRICO,1607,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
ARSENIATO FERROSO,1608,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
TETRAFOSFATO DI ESAETILE,1611,,6.1,T1,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
TETRAFOSFATO DI ESAETILE E GAS COMPRESSO IN MISCELA,1612,,2,1T,,2.3,1 (C/D),,,,,,,,,,,,,,,,
ACIDO CIANIDRICO IN SOLUZIONE ACQUOSA (CIANURO DI IDROGENO IN SOLUZIONE ACQUOSA) contenente al massimo il 20% di cianuro di idrogeno,1613,,6.1,TF1,I,6.1+3,0 (C/D),,,,,,,,,,,,,,,,
CIANURO DI IDROGENO STABILIZZATO, con meno del 3% d'acqua e assorbito da un materiale poroso inerte,1614,,6.1,TF1,I,6.1+3,0 (D),,,,,,,,,,,,,,,,
ACETATO DI PIOMBO,1616,,6.1,T5,III,6.1,2 (E),,,,,,,,,,,,,,,,
ARSENIATI DI PIOMBO,1617,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
ARSENITI DI PIOMBO,1618,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
CIANURO DI PIOMBO,1620,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
PORPORA DI LONDRA,1621,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
ARSENIATO DI MAGNESIO,1622,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
ARSENIATO MERCURICO,1623,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
CLORURO MERCURICO,1624,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
NITRATO MERCURICO,1625,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
CIANURO MERCURICO E DI POTASSIO,1626,,6.1,T5,I,6.1,1 (C/E),,,,,,,,,,,,,,,,
NITRATO MERCUROSO,1627,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
ACETATO DI MERCURIO,1629,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
CLORURO DI MERCURIO AMMONIACALE,1630,,6.1,T5,II,6.1,2 (D/E),,,,,,,,,,,,,,,,
